Timestamp_ms,Task_Name,Priority_or_Deadline,Exec_Time_ms
81206,GasTask,SAME,15
81661,TempTask,SAME,8
82221,GasTask,SAME,15
82669,TempTask,SAME,8
83236,GasTask,SAME,15
83677,TempTask,SAME,8
84251,GasTask,SAME,15
84685,TempTask,SAME,8
85266,GasTask,SAME,15
85693,TempTask,SAME,8
86281,GasTask,SAME,15
86701,TempTask,SAME,8
87296,GasTask,SAME,15
87709,TempTask,SAME,8
88311,GasTask,SAME,15
88717,TempTask,SAME,8
89326,GasTask,SAME,15
89725,TempTask,SAME,8
90341,GasTask,SAME,15
90733,TempTask,SAME,8
91356,GasTask,SAME,15
91741,TempTask,SAME,8
92371,GasTask,SAME,15
92749,TempTask,SAME,8
93386,GasTask,SAME,15
93757,TempTask,SAME,8
94401,GasTask,SAME,15
94765,TempTask,SAME,8
95416,GasTask,SAME,15
95773,TempTask,SAME,8
96431,GasTask,SAME,15
96781,TempTask,SAME,8
97446,GasTask,SAME,15
97789,TempTask,SAME,8
98461,GasTask,SAME,15
98797,TempTask,SAME,8
99476,GasTask,SAME,15
99805,TempTask,SAME,8
100491,GasTask,SAME,15
100813,TempTask,SAME,8
101506,GasTask,SAME,15
101821,TempTask,SAME,8
102521,GasTask,SAME,15
102829,TempTask,SAME,8
103536,GasTask,SAME,15
103837,TempTask,SAME,8
104551,GasTask,SAME,15
104845,TempTask,SAME,8
105566,GasTask,SAME,15
105853,TempTask,SAME,8
106581,GasTask,SAME,15
106861,TempTask,SAME,8
107596,GasTask,SAME,15
107869,TempTask,SAME,8
108611,GasTask,SAME,15
108877,TempTask,SAME,8
109626,GasTask,SAME,15
109885,TempTask,SAME,8
110641,GasTask,SAME,15
110893,TempTask,SAME,8
111656,GasTask,SAME,15
111901,TempTask,SAME,8
112671,GasTask,SAME,15
112909,TempTask,SAME,8
113686,GasTask,SAME,15
113917,TempTask,SAME,8
114701,GasTask,SAME,15
114925,TempTask,SAME,8
115716,GasTask,SAME,15
115933,TempTask,SAME,8
116731,GasTask,SAME,15
116941,TempTask,SAME,8
117746,GasTask,SAME,15
117949,TempTask,SAME,8
118761,GasTask,SAME,15
118957,TempTask,SAME,8
119776,GasTask,SAME,15
119965,TempTask,SAME,8
120791,GasTask,SAME,15
120973,TempTask,SAME,8
121806,GasTask,SAME,15
121981,TempTask,SAME,8
122821,GasTask,SAME,15
122989,TempTask,SAME,8
123836,GasTask,SAME,15
123997,TempTask,SAME,8
124851,GasTask,SAME,15
125005,TempTask,SAME,8
125866,GasTask,SAME,15
126013,TempTask,SAME,8
126881,GasTask,SAME,15
127021,TempTask,SAME,8
127896,GasTask,SAME,15
128029,TempTask,SAME,8
128911,GasTask,SAME,15
129037,TempTask,SAME,8
129926,GasTask,SAME,15
130045,TempTask,SAME,8
130941,GasTask,SAME,15
131053,TempTask,SAME,8
131956,GasTask,SAME,15
132061,TempTask,SAME,8
132971,GasTask,SAME,15
133069,TempTask,SAME,8
133986,GasTask,SAME,15
134077,TempTask,SAME,8
135001,GasTask,SAME,15
135085,TempTask,SAME,8
136016,GasTask,SAME,15
136093,TempTask,SAME,8
137031,GasTask,SAME,15
137101,TempTask,SAME,8
138046,GasTask,SAME,15
138109,TempTask,SAME,8
139061,GasTask,SAME,15
139117,TempTask,SAME,8
140076,GasTask,SAME,15
140125,TempTask,SAME,8
141091,GasTask,SAME,15
141133,TempTask,SAME,8
142106,GasTask,SAME,15
142141,TempTask,SAME,8
143121,GasTask,SAME,15
143149,TempTask,SAME,8
144136,GasTask,SAME,15
144157,TempTask,SAME,8
145151,GasTask,SAME,15
145165,TempTask,SAME,8
146166,GasTask,SAME,15
146173,TempTask,SAME,8
147181,GasTask,SAME,15
147181,TempTask,SAME,8
148189,TempTask,SAME,8
148196,GasTask,SAME,15
149197,TempTask,SAME,8
149211,GasTask,SAME,15
150205,TempTask,SAME,8
150226,GasTask,SAME,15
151213,TempTask,SAME,8
151241,GasTask,SAME,15
152221,TempTask,SAME,8
152256,GasTask,SAME,15
153229,TempTask,SAME,8
153271,GasTask,SAME,15
154237,TempTask,SAME,8
154286,GasTask,SAME,15
155245,TempTask,SAME,8
155301,GasTask,SAME,15
156253,TempTask,SAME,8
156316,GasTask,SAME,15
157261,TempTask,SAME,8
157331,GasTask,SAME,15
158269,TempTask,SAME,8
158346,GasTask,SAME,15
159277,TempTask,SAME,8
159361,GasTask,SAME,15
160285,TempTask,SAME,8
160376,GasTask,SAME,15
161293,TempTask,SAME,8
161391,GasTask,SAME,15
162301,TempTask,SAME,8
162406,GasTask,SAME,15
163309,TempTask,SAME,8
163421,GasTask,SAME,15
164317,TempTask,SAME,8
164436,GasTask,SAME,15
165325,TempTask,SAME,8
165451,GasTask,SAME,15
166333,TempTask,SAME,8
166466,GasTask,SAME,15
167341,TempTask,SAME,8
167481,GasTask,SAME,15
168349,TempTask,SAME,8
168496,GasTask,SAME,15
169357,TempTask,SAME,8
169511,GasTask,SAME,15
170365,TempTask,SAME,8
170526,GasTask,SAME,15
171373,TempTask,SAME,8
171541,GasTask,SAME,15
172381,TempTask,SAME,8
172556,GasTask,SAME,15
173389,TempTask,SAME,8
173571,GasTask,SAME,15
174397,TempTask,SAME,8
174586,GasTask,SAME,15
175405,TempTask,SAME,8
175601,GasTask,SAME,15
176413,TempTask,SAME,8
176616,GasTask,SAME,15
177421,TempTask,SAME,8
177631,GasTask,SAME,15
178429,TempTask,SAME,8
178646,GasTask,SAME,15
179437,TempTask,SAME,8
179661,GasTask,SAME,15
180445,TempTask,SAME,8
180676,GasTask,SAME,15
181453,TempTask,SAME,8
181691,GasTask,SAME,15
182461,TempTask,SAME,8
182706,GasTask,SAME,15
183469,TempTask,SAME,8
183721,GasTask,SAME,15
184477,TempTask,SAME,8
184736,GasTask,SAME,15
185485,TempTask,SAME,8
185751,GasTask,SAME,15
186493,TempTask,SAME,8
186766,GasTask,SAME,15
187501,TempTask,SAME,8
187781,GasTask,SAME,15
188509,TempTask,SAME,8
188796,GasTask,SAME,15
189517,TempTask,SAME,8
189811,GasTask,SAME,15
190525,TempTask,SAME,8
190826,GasTask,SAME,15
191533,TempTask,SAME,8
191841,GasTask,SAME,15
192541,TempTask,SAME,8
192856,GasTask,SAME,15
193549,TempTask,SAME,8
193871,GasTask,SAME,15
194557,TempTask,SAME,8
194886,GasTask,SAME,15
195565,TempTask,SAME,8
195901,GasTask,SAME,15
196573,TempTask,SAME,8
196916,GasTask,SAME,15
197581,TempTask,SAME,8
197931,GasTask,SAME,15
198589,TempTask,SAME,8
198946,GasTask,SAME,15
199597,TempTask,SAME,8
199961,GasTask,SAME,15
200605,TempTask,SAME,8
200976,GasTask,SAME,15
201613,TempTask,SAME,8
201991,GasTask,SAME,15
202621,TempTask,SAME,8
203006,GasTask,SAME,15
203629,TempTask,SAME,8
204021,GasTask,SAME,15
204637,TempTask,SAME,8
205036,GasTask,SAME,15
205645,TempTask,SAME,8
206051,GasTask,SAME,15
206653,TempTask,SAME,8
207066,GasTask,SAME,15
207661,TempTask,SAME,8
208081,GasTask,SAME,15
208669,TempTask,SAME,8
209096,GasTask,SAME,15
209677,TempTask,SAME,8
210111,GasTask,SAME,15
210685,TempTask,SAME,8
211126,GasTask,SAME,15
211693,TempTask,SAME,8
212141,GasTask,SAME,15
212701,TempTask,SAME,8
213156,GasTask,SAME,15
213709,TempTask,SAME,8
214171,GasTask,SAME,15
214717,TempTask,SAME,8
215186,GasTask,SAME,15
215725,TempTask,SAME,8
216201,GasTask,SAME,15
216733,TempTask,SAME,8
217216,GasTask,SAME,15
217741,TempTask,SAME,8
218231,GasTask,SAME,15
218749,TempTask,SAME,8
219246,GasTask,SAME,15
219757,TempTask,SAME,8
220261,GasTask,SAME,15
220765,TempTask,SAME,8
221276,GasTask,SAME,15
221773,TempTask,SAME,8
222291,GasTask,SAME,15
222781,TempTask,SAME,8
223306,GasTask,SAME,15
223789,TempTask,SAME,8
224321,GasTask,SAME,15
224797,TempTask,SAME,8
225336,GasTask,SAME,15
225805,TempTask,SAME,8
226351,GasTask,SAME,15
226813,TempTask,SAME,8
227366,GasTask,SAME,15
227821,TempTask,SAME,8
228381,GasTask,SAME,15
228829,TempTask,SAME,8
229396,GasTask,SAME,15
229837,TempTask,SAME,8
230411,GasTask,SAME,15
230845,TempTask,SAME,8
231426,GasTask,SAME,15
231853,TempTask,SAME,8
232441,GasTask,SAME,15
232861,TempTask,SAME,8
233456,GasTask,SAME,15
233869,TempTask,SAME,8
234471,GasTask,SAME,15
234877,TempTask,SAME,8
235486,GasTask,SAME,15
235885,TempTask,SAME,8
236501,GasTask,SAME,15
236893,TempTask,SAME,8
237516,GasTask,SAME,15
237901,TempTask,SAME,8
238531,GasTask,SAME,15
238909,TempTask,SAME,8
239546,GasTask,SAME,15
239917,TempTask,SAME,8
240561,GasTask,SAME,15
240925,TempTask,SAME,8
241576,GasTask,SAME,15
241933,TempTask,SAME,8
242591,GasTask,SAME,15
242941,TempTask,SAME,8
243606,GasTask,SAME,15
243949,TempTask,SAME,8
244621,GasTask,SAME,15
244957,TempTask,SAME,8
245636,GasTask,SAME,15
245965,TempTask,SAME,8
246651,GasTask,SAME,15
246973,TempTask,SAME,8
247666,GasTask,SAME,15
247981,TempTask,SAME,8
248681,GasTask,SAME,15
248989,TempTask,SAME,8
249696,GasTask,SAME,15
249997,TempTask,SAME,8
250711,GasTask,SAME,15
251005,TempTask,SAME,8
251726,GasTask,SAME,15
252013,TempTask,SAME,8
252741,GasTask,SAME,15
253021,TempTask,SAME,8
253756,GasTask,SAME,15
254029,TempTask,SAME,8
